> seis_32
11 -69
10 -69
9 -69
8 -69
7 -69
6 -69
5 -69
4 -69
3 -69
2 -69
1 -69
0 -69
-1 -69
-2 -69
-3 -69
-4 -69
-5 -69
> seis_32
-351 -60
-351 -59
-351 -58
-351 -57
-351 -56
-351 -55
-351 -54
-351 -53
-351 -52
-351 -51
-351 -50
-351 -49
-351 -48
-351 -47
-351 -46
-351 -45
-351 -44
-351 -43
-351 -42
-351 -41
-350 -41
-349 -41
-348 -41
-347 -41
-346 -41
-345 -41
-344 -41
-343 -41
-342 -41
-341 -41
-340 -41
-340 -42
-340 -43
-340 -44
-340 -45
-340 -46
-340 -47
-340 -48
-340 -49
-340 -50
-340 -51
-340 -52
-340 -53
-340 -54
-340 -55
-340 -56
-340 -57
-340 -58
-340 -59
-340 -60
-341 -60
-342 -60
-343 -60
-344 -60
-345 -60
-346 -60
-347 -60
-348 -60
-349 -60
-350 -60
-351 -60
